city_ascii,lat,lng
Turner Valley,50.6739,-114.2786
Hanna,51.6383,-111.9419
Maria,48.1667,-65.9833
Disraeli,45.9,-71.35
Trenton,45.6193,-62.6332
Fermont,52.7833,-67.0833
Esterhazy,50.65,-102.0667
Beaverlodge,55.2094,-119.4292
Causapscal,48.3667,-67.2333
Brigham,45.25,-72.85
Minnedosa,50.2453,-99.8428
Labelle,46.2833,-74.7333
Huntingdon,45.08,-74.17
Hebertville,48.4,-71.6833
Saint-Michel-des-Saints,46.6833,-73.9167
Assiniboia,49.6167,-105.9833
Temiscaming,46.7167,-79.1
Magrath,49.4239,-112.8683
Valcourt,45.5,-72.3167
Paquetville,47.6334,-65.1803
Lillooet,50.6864,-121.9364
Lery,45.35,-73.8
Outlook,51.5,-107.05
Mitchell,49.5363,-96.7634
Albanel,48.8833,-72.45
Maskinonge,46.2333,-73.0167
Lantz,44.9894,-63.4736
Calmar,53.25,-113.7833
Lebel-sur-Quevillon,49.05,-76.9833
Pierreville,46.0667,-72.8167
Kent,46.6221,-67.2953
Saint-Bernard,46.5,-71.1333
Papineauville,45.6167,-75.0167
Tofield,53.3703,-112.6667
Baker Lake,64.3287,-96.0308
Manouane,47.2091,-74.3833
Redwater,53.9489,-113.1067
Caplan,48.1,-65.6833
Allardville,47.4321,-65.4383
Ethelbert,51.5364,-100.4981
Grey,49.7094,-98.0736
Gilbert Plains,51.1547,-100.4381
Louise,49.1772,-98.8794
Saint-Charles,46.6692,-65.0184
Mattawa,46.3167,-78.7
Tumbler Ridge,55.1333,-121.0
Bow Island,49.8667,-111.3667
Barraute,48.4333,-77.6333
Pointe-Lebel,49.1667,-68.2
Montague,46.1652,-62.65
Millet,53.0978,-113.4728
Vallee-Jonction,46.3667,-70.9167
Manitouwadge,49.1333,-85.8333
Wellington,43.9579,-77.3534
Tofino,49.1275,-125.8852
Vulcan,50.4,-113.25
Les Escoumins,48.35,-69.4
Riviere-Beaudette,45.2333,-74.3333
Saint-Mathieu,45.3167,-73.5164
Saint-Blaise-sur-Richelieu,45.2167,-73.2833
Dalmeny,52.3411,-106.7733
Picture Butte,49.8731,-112.78
Victoria,47.7675,-53.2411
Armstrong,50.64,-97.495
La Guadeloupe,45.95,-70.93
Burns Lake,54.2292,-125.7625
Gore,45.77,-74.25
Lamont,53.7603,-112.7778
Chambord,48.4333,-72.0667
Dudswell,45.5833,-71.5833
Cambridge Bay,69.1528,-105.1707
Hemmingford,45.0833,-73.5833
Brighton,46.3316,-67.3585
Saint-Ours,45.8833,-73.15
Stephenville Crossing,48.5167,-58.4167
Barriere,51.1803,-120.1261
Fisher,51.0825,-97.6611
Nouvelle,48.1333,-66.3167
Yamaska,46.0236,-72.9391
Naramata,49.5886,-119.5838
Balmoral,47.9667,-66.45
Price,48.6017,-68.1227
Champlain,46.45,-72.35
Yamaska-Est,46.0,-72.92
Franklin Centre,45.0467,-73.9005
Harbour Breton,47.4833,-55.8333
Lyster,46.3667,-71.6167
Balgonie,50.488,-104.269
Kensington,46.4333,-63.65
Fossambault-sur-le-Lac,46.8667,-71.6167
Terrace Bay,48.8,-87.1
Chapais,49.7819,-74.8544
Florenceville,46.4435,-67.6152
Saint-Jacques,47.5634,-68.3693
Perth,46.7393,-67.6984
Shawville,45.6,-76.4833
Lambton,45.83,-71.08
Grenville,45.6333,-74.6
Saint-Bernard-de-Lacolle,45.0833,-73.4167
Venise-en-Quebec,45.0833,-73.1333
Ripon,45.7833,-75.1
Saint-Joseph,47.558,-68.3082
Bon Accord,53.8328,-113.4189
Saint-Albert,46.0,-72.0833
Matagami,49.75,-77.6333
Amherst,46.05,-74.7667
Victoria,49.6644,-98.9153
Pinawa,50.1707,-95.9547
Gold River,49.7769,-126.0514
Tring-Jonction,46.2667,-70.9833
Pointe-a-la-Croix,48.0167,-66.6833
Palmarolle,48.6667,-79.2
Henryville,45.1333,-73.1833
Laurierville,46.3,-71.65
La Dore,48.72,-72.65
Lac-au-Saumon,48.4167,-67.35
Wotton,45.7333,-71.8
Shellbrook,53.2167,-106.4
St. Francois Xavier,49.9903,-97.6722
Tingwick,45.8873,-71.9244
Frampton,46.4667,-70.8
New Carlisle,48.0167,-65.3333
Dawson,64.0464,-139.3893
Nantes,45.6333,-71.0333
Vaudreuil-sur-le-Lac,45.4,-74.0333
Legal,53.9492,-113.595
Les Eboulements,47.4833,-70.3167
Pointe-aux-Outardes,49.05,-68.4333
Telkwa,54.6972,-127.05
Mayerthorpe,53.9503,-115.1336
Charlo,48.0,-66.32
Richmond,46.0776,-67.7248
Saint-Leonard,47.1625,-67.925
Riviere-Bleue,47.4333,-69.05
Sorrento,50.8832,-119.4782
Lorrainville,47.3613,-79.3382
Gillam,56.3472,-94.7078
Montcalm,49.1775,-97.3247
La Minerve,46.25,-74.9333
Vauxhall,50.0689,-112.0975
Bassano,50.7833,-112.4667
Parrsboro,45.3998,-64.3312
Teulon,50.3858,-97.2611
Peel,46.4058,-67.5278
Bury,45.4667,-71.5
Lac-Bouchette,48.25,-72.18
St-Pierre-Jolys,49.4403,-96.9844
Grand-Remous,46.6167,-75.9
Armstrong,47.7083,-79.825
Rogersville,46.7167,-65.4167
Langenburg,50.8333,-101.7
Centreville-Wareham-Trinity,48.9879,-53.9069
Alberton,46.8167,-64.0667
Winnipeg Beach,50.5058,-96.9742
Salmo,49.1942,-117.2778
Tara,44.4793,-81.1445
Grande-Vallee,49.2167,-65.1333
Centreville,45.13,-64.5224
Eckville,52.3622,-114.3614
Blanc-Sablon,51.4167,-57.1333
Frelighsburg,45.0461,-72.8106
Les Mechins,49.0,-66.9833
Chipman,46.171,-65.884
Girardville,49.0,-72.55
Dorchester,45.9016,-64.5161
Plaisance,45.6167,-75.1167
Youbou,48.8562,-124.1731
Whitecourt,54.1417,-115.6833
Montreal-Est,45.63,-73.52
King,44.0463,-79.6044
Regina Beach,50.79,-104.99
Bentley,52.4667,-114.05
Durham,47.7631,-66.0849
Trochu,51.8236,-113.2328
Desbiens,48.4167,-71.95
Souris,46.3554,-62.2542
Melita,49.2681,-100.9958
Delisle,51.9254,-107.1333
Plantagenet,45.5321,-74.9956
Davidson,51.2667,-105.9667
Valemount,52.8284,-119.2659
Alberta Beach,53.6767,-114.35
Prince,46.5333,-84.5
Baie-du-Febvre,46.13,-72.72
Melbourne,45.58,-72.17
